headline_id,instrument,related_clients,title,source,timestamp,sentiment,sentiment_score
HDL00131,EURUSD,PHOENIX_CAPITAL_031;STERLING_FX_041,European Housing Data Weakens,WSJ,2025-12-02T13:25:32.792901,negative,-0.63
HDL00148,GOLD,ZEUS_COMM_019,Central Banks Announces Gold Rallies,WSJ,2025-12-02T13:25:32.792901,positive,0.59
HDL00167,AUDUSD,ZEUS_COMM_019;QUANTUM_FINANCE_015,RBA Announces Drives Trading Range Narrows,Bloomberg,2025-12-02T13:25:32.792901,neutral,-0.17
HDL00011,EURUSD,SENTINEL_ASSETS_067;HORIZON_GLOBAL_056,European Retail Sales Data Weakens,Reuters,2025-12-02T13:25:32.792901,negative,-0.82
HDL00026,USDJPY,TITAN_EQ_008;STERLING_FX_041,Yen Declines as Growth Concerns,Bloomberg,2025-12-02T12:25:32.792901,positive,0.89
HDL00025,USDJPY,ACME_FX_023;NEXUS_CAPITAL_017,BoJ Signals Beats Expectations,FT,2025-12-02T12:25:32.792901,positive,0.9
HDL00194,GOLD,ZEUS_COMM_019,Safe Haven Demand Weakens,FT,2025-12-02T11:25:32.792901,negative,-0.84
HDL00115,EURUSD,PHOENIX_CAPITAL_031;PINNACLE_WEALTH_064,EURUSD Hits Multi-Month High Amid Political Development,Reuters,2025-12-02T10:25:32.792901,neutral,0.2
HDL00157,GOLD,ZEUS_COMM_019,Precious Metals Tests Support Amid Jobs Report,FT,2025-12-02T10:25:32.792901,neutral,-0.14
HDL00090,USDJPY,CORNERSTONE_INV_033;TITAN_EQ_008,Yen Falls as Inflation Worries,FT,2025-12-02T10:25:32.792901,negative,-0.51
HDL00102,USDJPY,HORIZON_GLOBAL_056;TITAN_EQ_008,Yen Weakens as Inflation Worries,Reuters,2025-12-02T08:25:32.792901,negative,-0.84
HDL00137,GOLD,ZEUS_COMM_019,Safe Haven Demand Disappoints,WSJ,2025-12-02T08:25:32.792901,negative,-0.75
HDL00013,AUDUSD,NOVA_MACRO_045;ATLAS_BOND_012,Commodity Currencies Misses Forecast,FT,2025-12-02T07:25:32.792901,neutral,-0.11
HDL00066,EURUSD,OLYMPUS_VENTURES_024;STERLING_FX_041,Euro Rallies on Weak PMI Numbers,Reuters,2025-12-02T07:25:32.792901,positive,0.55
HDL00149,GOLD,ZEUS_COMM_019,Precious Metals Tests Support Amid Political Development,WSJ,2025-12-02T07:25:32.792901,neutral,-0.2
HDL00054,GOLD,ZEUS_COMM_019,Central Banks Signals Gold Rallies,Bloomberg,2025-12-02T07:25:32.792901,positive,0.81
HDL00162,EURUSD,MERIDIAN_FUND_052;ECLIPSE_PARTNERS_092,ECB Signals Signals Dovish Policy Stance,Bloomberg,2025-12-02T07:25:32.792901,neutral,0.18
HDL00107,EURUSD,PHOENIX_CAPITAL_031;OLYMPUS_VENTURES_024,ECB Maintains Signals Cautious Policy Stance,Reuters,2025-12-02T07:25:32.792901,neutral,-0.06
HDL00180,USDJPY,ECLIPSE_PARTNERS_092;VANGUARD_MARKETS_078,BoJ Hints At Misses Forecast,Reuters,2025-12-02T07:25:32.792901,neutral,0.09
HDL00059,USDJPY,VANGUARD_MARKETS_078;STERLING_FX_041,Dollar-Yen Hits Multi-Month High on GDP Release,Bloomberg,2025-12-02T06:25:32.792901,neutral,0.18
HDL00064,GOLD,ZEUS_COMM_019,Gold Gains on Rate Decision,Reuters,2025-12-02T06:25:32.792901,positive,0.74
HDL00145,AUDUSD,ECLIPSE_PARTNERS_092;SUMMIT_ADVISORS_051,RBA Hints At Drives Trading Range Narrows,Bloomberg,2025-12-02T05:25:32.792901,neutral,0.2
HDL00104,GOLD,ZEUS_COMM_019,Safe Haven Demand Disappoints,Reuters,2025-12-02T05:25:32.792901,negative,-0.86
HDL00126,AUDUSD,STERLING_FX_041;QUANTUM_FINANCE_015,Aussie Dollar Weakens on Political Development,FT,2025-12-02T05:25:32.792901,negative,-0.69
HDL00184,GOLD,ZEUS_COMM_019,Central Banks Delays Gold Falls,Reuters,2025-12-02T05:25:32.792901,negative,-0.89
HDL00056,USDJPY,VANGUARD_MARKETS_078;TITAN_EQ_008,BoJ Announces Disappoints,FT,2025-12-02T04:25:32.792901,negative,-0.77
HDL00160,USDJPY,CORNERSTONE_INV_033;HORIZON_GLOBAL_056,BoJ Announces Beats Expectations,Reuters,2025-12-02T03:25:32.792901,positive,0.68
HDL00080,EURUSD,ECLIPSE_PARTNERS_092;VANGUARD_MARKETS_078,EURUSD Trading Range Narrows Amid Jobs Report,WSJ,2025-12-02T03:25:32.792901,neutral,-0.19
HDL00093,GBPUSD,ROCKFORD_TRUST_088;PINNACLE_WEALTH_064,BoE Announces Drives Sterling Gains,FT,2025-12-02T02:25:32.792901,positive,0.86
HDL00140,GBPUSD,NOVA_MACRO_045;STERLING_FX_041,Pound Hits Multi-Month High on Trade Tensions,FT,2025-12-02T02:25:32.792901,neutral,0.1
HDL00004,GOLD,ZEUS_COMM_019,Precious Metals Trading Range Narrows Amid GDP Release,Reuters,2025-12-02T02:25:32.792901,neutral,-0.16
HDL00136,EURUSD,STERLING_FX_041;ATLAS_BOND_012,EURUSD Volatility Spikes Amid Central Bank Meeting,WSJ,2025-12-02T02:25:32.792901,neutral,-0.09
HDL00051,GOLD,ZEUS_COMM_019,Central Banks Signals Gold Strengthens,WSJ,2025-12-02T02:25:32.792901,positive,0.57
HDL00189,GOLD,ZEUS_COMM_019,Central Banks Delays Gold Gains,WSJ,2025-12-02T01:25:32.792901,positive,0.76
HDL00048,USDJPY,MERIDIAN_FUND_052;ROCKFORD_TRUST_088,Dollar-Yen Trading Range Narrows on Central Bank Meeting,FT,2025-12-02T01:25:32.792901,neutral,0.09
HDL00134,EURUSD,ACME_FX_023;ATLAS_BOND_012,Euro Weakens on Rate Decision,Reuters,2025-12-02T01:25:32.792901,negative,-0.75
HDL00103,AUDUSD,SUMMIT_ADVISORS_051;TITAN_EQ_008,Aussie Dollar Falls on Central Bank Meeting,WSJ,2025-12-02T01:25:32.792901,negative,-0.6
HDL00128,USDJPY,STERLING_FX_041;ECLIPSE_PARTNERS_092,Japanese Services Misses Forecast,Bloomberg,2025-12-02T00:25:32.792901,neutral,-0.15
HDL00042,USDJPY,CORNERSTONE_INV_033;ACME_FX_023,Japanese Manufacturing Weakens,Bloomberg,2025-12-02T00:25:32.792901,negative,-0.61
HDL00002,USDJPY,STERLING_FX_041;ACME_FX_023,Yen Gains as Inflation Worries,WSJ,2025-12-02T00:25:32.792901,positive,0.87
HDL00047,USDJPY,HORIZON_GLOBAL_056;CORNERSTONE_INV_033,BoJ Announces Shows Strength,Bloomberg,2025-12-01T23:25:32.792901,neutral,0.02
HDL00084,EURUSD,SUMMIT_ADVISORS_051;OLYMPUS_VENTURES_024,European Employment Data Weakens,Reuters,2025-12-01T23:25:32.792901,negative,-0.81
HDL00175,GOLD,ZEUS_COMM_019,Precious Metals Hits Multi-Month High Amid Political Development,Reuters,2025-12-01T23:25:32.792901,neutral,-0.13
HDL00039,AUDUSD,STERLING_FX_041;ZEUS_COMM_019,Aussie Dollar Rallies on CPI Data,Bloomberg,2025-12-01T23:25:32.792901,positive,0.84
HDL00114,GBPUSD,APEX_TRADING_089;VANGUARD_MARKETS_078,UK Services Misses Forecast,WSJ,2025-12-01T22:25:32.792901,neutral,0.05
HDL00060,GBPUSD,ACME_FX_023;QUANTUM_FINANCE_015,Sterling Falls After GDP Release,WSJ,2025-12-01T21:25:32.792901,negative,-0.79
HDL00181,GOLD,ZEUS_COMM_019,Central Banks Hints At Gold Strengthens,Bloomberg,2025-12-01T21:25:32.792901,positive,0.64
HDL00015,GOLD,ZEUS_COMM_019,Safe Haven Demand Weakens,Reuters,2025-12-01T21:25:32.792901,negative,-0.62
HDL00179,GOLD,ZEUS_COMM_019,Gold Weakens on Inflation Worries,Bloomberg,2025-12-01T21:25:32.792901,negative,-0.89
HDL00083,AUDUSD,APEX_TRADING_089;QUANTUM_FINANCE_015,Aussie Dollar Strengthens on CPI Data,Reuters,2025-12-01T20:25:32.792901,positive,0.51
HDL00035,GOLD,ZEUS_COMM_019,Central Banks Delays Gold Falls,FT,2025-12-01T20:25:32.792901,negative,-0.87
HDL00188,AUDUSD,CORNERSTONE_INV_033;QUANTUM_FINANCE_015,RBA Signals Drives Trading Range Narrows,Bloomberg,2025-12-01T20:25:32.792901,neutral,-0.09
HDL00141,EURUSD,ROCKFORD_TRUST_088;SUMMIT_ADVISORS_051,EURUSD Tests Support Amid Central Bank Meeting,Bloomberg,2025-12-01T20:25:32.792901,neutral,0.07
HDL00065,AUDUSD,APEX_TRADING_089;TITAN_EQ_008,Aussie Dollar Declines on Jobs Report,Bloomberg,2025-12-01T19:25:32.792901,negative,-0.71
HDL00008,GOLD,ZEUS_COMM_019,Safe Haven Demand Beats Expectations,WSJ,2025-12-01T19:25:32.792901,positive,0.81
HDL00098,GOLD,ZEUS_COMM_019,Gold Weakens on Trade Tensions,Reuters,2025-12-01T18:25:32.792901,negative,-0.68
HDL00018,EURUSD,MERIDIAN_FUND_052;PHOENIX_CAPITAL_031,ECB Delays Signals Neutral Policy Stance,FT,2025-12-01T17:25:32.792901,neutral,0.03
HDL00138,AUDUSD,STERLING_FX_041;ZEUS_COMM_019,Aussie Dollar Gains on Central Bank Meeting,Reuters,2025-12-01T17:25:32.792901,positive,0.81
HDL00028,GBPUSD,ACME_FX_023;SUMMIT_ADVISORS_051,Sterling Gains After Political Development,FT,2025-12-01T17:25:32.792901,positive,0.62
HDL00089,AUDUSD,TITAN_EQ_008;ATLAS_BOND_012,Aussie Dollar Falls on Jobs Report,Bloomberg,2025-12-01T16:25:32.792901,negative,-0.88
HDL00172,AUDUSD,APEX_TRADING_089;ECLIPSE_PARTNERS_092,Aussie Dollar Weakens on CPI Data,FT,2025-12-01T16:25:32.792901,negative,-0.83
HDL00094,GOLD,ZEUS_COMM_019,Precious Metals Volatility Spikes Amid CPI Data,Reuters,2025-12-01T16:25:32.792901,neutral,-0.06
HDL00177,GOLD,ZEUS_COMM_019,Safe Haven Demand Beats Expectations,Bloomberg,2025-12-01T15:25:32.792901,positive,0.52
HDL00110,EURUSD,ECLIPSE_PARTNERS_092;MERIDIAN_FUND_052,European Retail Sales Data Beats Expectations,WSJ,2025-12-01T15:25:32.792901,positive,0.63
HDL00159,EURUSD,PHOENIX_CAPITAL_031;SENTINEL_ASSETS_067,ECB Announces Signals Neutral Policy Stance,Reuters,2025-12-01T15:25:32.792901,neutral,0.1
HDL00076,GBPUSD,VANGUARD_MARKETS_078;HORIZON_GLOBAL_056,Sterling Falls After Jobs Report,Reuters,2025-12-01T15:25:32.792901,negative,-0.88
HDL00081,USDJPY,TITAN_EQ_008;ROCKFORD_TRUST_088,Japanese Services Beats Expectations,FT,2025-12-01T14:25:32.792901,positive,0.72
HDL00036,GOLD,ZEUS_COMM_019,Central Banks Hints At Gold Falls,Bloomberg,2025-12-01T14:25:32.792901,negative,-0.55
HDL00012,GOLD,ZEUS_COMM_019,Gold Rallies on Weak PMI Numbers,FT,2025-12-01T13:25:32.792901,positive,0.53
HDL00001,USDJPY,MERIDIAN_FUND_052;VANGUARD_MARKETS_078,Dollar-Yen Trading Range Narrows on GDP Release,Reuters,2025-12-01T13:25:32.792901,neutral,0.09
HDL00070,USDJPY,HORIZON_GLOBAL_056;NEXUS_CAPITAL_017,Yen Declines as Strong Economic Data,Bloomberg,2025-12-01T13:25:32.792901,positive,0.81
HDL00062,EURUSD,ECLIPSE_PARTNERS_092;ROCKFORD_TRUST_088,ECB Delays Signals Neutral Policy Stance,Bloomberg,2025-12-01T12:25:32.792901,neutral,0.13
HDL00121,EURUSD,PHOENIX_CAPITAL_031;PINNACLE_WEALTH_064,ECB Announces Signals Cautious Policy Stance,Bloomberg,2025-12-01T12:25:32.792901,neutral,0.11
HDL00082,GBPUSD,NEXUS_CAPITAL_017;NOVA_MACRO_045,UK Manufacturing Misses Forecast,Bloomberg,2025-12-01T12:25:32.792901,neutral,0.03
HDL00068,GOLD,ZEUS_COMM_019,Precious Metals Trading Range Narrows Amid CPI Data,Reuters,2025-12-01T11:25:32.792901,neutral,-0.16
HDL00063,GOLD,ZEUS_COMM_019,Gold Falls on Trade Tensions,Bloomberg,2025-12-01T11:25:32.792901,negative,-0.71
HDL00118,GOLD,ZEUS_COMM_019,Precious Metals Tests Support Amid CPI Data,Reuters,2025-12-01T11:25:32.792901,neutral,0.15
HDL00152,EURUSD,ACME_FX_023;ECLIPSE_PARTNERS_092,EURUSD Trading Range Narrows Amid GDP Release,Bloomberg,2025-12-01T10:25:32.792901,neutral,0.16
HDL00187,GOLD,ZEUS_COMM_019,Safe Haven Demand Disappoints,WSJ,2025-12-01T09:25:32.792901,negative,-0.56
HDL00169,GBPUSD,VANGUARD_MARKETS_078;SUMMIT_ADVISORS_051,Sterling Rallies After Jobs Report,WSJ,2025-12-01T09:25:32.792901,positive,0.5
HDL00124,USDJPY,VANGUARD_MARKETS_078;MERIDIAN_FUND_052,Yen Rallies as Weak PMI Numbers,Reuters,2025-12-01T08:25:32.792901,positive,0.61
HDL00088,GBPUSD,QUANTUM_FINANCE_015;SUMMIT_ADVISORS_051,BoE Delays Drives Sterling Falls,FT,2025-12-01T08:25:32.792901,negative,-0.87
HDL00166,AUDUSD,NEXUS_CAPITAL_017;MERIDIAN_FUND_052,Commodity Currencies Misses Forecast,Reuters,2025-12-01T07:25:32.792901,neutral,0.14
HDL00191,USDJPY,VANGUARD_MARKETS_078;ACME_FX_023,BoJ Announces Misses Forecast,WSJ,2025-12-01T06:25:32.792901,neutral,-0.05
HDL00101,USDJPY,ROCKFORD_TRUST_088;ECLIPSE_PARTNERS_092,BoJ Maintains Beats Expectations,Bloomberg,2025-12-01T06:25:32.792901,positive,0.64
HDL00150,EURUSD,HORIZON_GLOBAL_056;OLYMPUS_VENTURES_024,EURUSD Trading Range Narrows Amid Political Development,Bloomberg,2025-12-01T05:25:32.792901,neutral,-0.03
HDL00010,GBPUSD,QUANTUM_FINANCE_015;VANGUARD_MARKETS_078,BoE Signals Drives Sterling Gains,Bloomberg,2025-12-01T05:25:32.792901,positive,0.69
HDL00003,GOLD,ZEUS_COMM_019,Central Banks Delays Gold Gains,WSJ,2025-12-01T05:25:32.792901,positive,0.8
HDL00016,EURUSD,MERIDIAN_FUND_052;HORIZON_GLOBAL_056,EURUSD Tests Support Amid GDP Release,FT,2025-12-01T04:25:32.792901,neutral,0.18
HDL00111,GBPUSD,ACME_FX_023;QUANTUM_FINANCE_015,Pound Tests Support on Rate Decision,FT,2025-12-01T04:25:32.792901,neutral,0.03
HDL00058,USDJPY,ROCKFORD_TRUST_088;STERLING_FX_041,Yen Falls as Geopolitical Risks,Bloomberg,2025-12-01T04:25:32.792901,negative,-0.72
HDL00072,EURUSD,STERLING_FX_041;PINNACLE_WEALTH_064,Euro Falls on Geopolitical Risks,WSJ,2025-12-01T04:25:32.792901,negative,-0.71
HDL00095,EURUSD,ROCKFORD_TRUST_088;OLYMPUS_VENTURES_024,European Services Data Disappoints,Bloomberg,2025-12-01T04:25:32.792901,negative,-0.7
HDL00190,GBPUSD,PINNACLE_WEALTH_064;OLYMPUS_VENTURES_024,Pound Trading Range Narrows on Trade Tensions,Bloomberg,2025-12-01T04:25:32.792901,neutral,0.01
HDL00014,EURUSD,SUMMIT_ADVISORS_051;ROCKFORD_TRUST_088,European Services Data Shows Strength,WSJ,2025-12-01T03:25:32.792901,neutral,0.11
HDL00193,AUDUSD,NOVA_MACRO_045;STERLING_FX_041,Commodity Currencies Disappoints,FT,2025-12-01T03:25:32.792901,negative,-0.76
HDL00057,AUDUSD,CORNERSTONE_INV_033;ZEUS_COMM_019,Commodity Currencies Disappoints,FT,2025-12-01T03:25:32.792901,negative,-0.52
HDL00196,GBPUSD,NOVA_MACRO_045;PHOENIX_CAPITAL_031,Pound Trading Range Narrows on Growth Concerns,FT,2025-12-01T03:25:32.792901,positive,0.62
HDL00073,EURUSD,PINNACLE_WEALTH_064;OLYMPUS_VENTURES_024,Euro Weakens on Weak PMI Numbers,FT,2025-12-01T02:25:32.792901,negative,-0.85
